Head_px,Head_py,Head_pz,Head_rw,Head_rx,Head_ry,Head_rz,Hips_px,Hips_py,Hips_pz,Hips_rw,Hips_rx,Hips_ry,Hips_rz,LeftHand_px,LeftHand_py,LeftHand_pz,LeftHand_rw,LeftHand_rx,LeftHand_ry,LeftHand_rz,RightHand_px,RightHand_py,RightHand_pz,RightHand_rw,RightHand_rx,RightHand_ry,RightHand_rz,LeftToes_px,LeftToes_py,LeftToes_pz,LeftToes_rw,LeftToes_rx,LeftToes_ry,LeftToes_rz,RightToes_px,RightToes_py,RightToes_pz,RightToes_rw,RightToes_rx,RightToes_ry,RightToes_rz
-0.3518150,1.6318340,-0.5780590,0.9863241,0.0369109,-0.0782360,-0.1402913,-0.3042200,1.0411000,-0.6823000,0.9747902,0.0779800,-0.2045601,0.0431100,-0.5437324,0.9635001,-0.7597778,0.8816226,-0.1658799,0.2271735,0.3789696,-0.2390985,1.0762290,-0.2685292,0.6330369,-0.5070167,-0.3985272,-0.4282225,-0.3743262,0.0104369,-0.6704905,0.9514187,0.0145450,-0.3071883,-0.0150539,0.1087506,0.0151556,-0.6425834,0.9801129,0.0626144,0.1754683,0.0683281
-0.3518150,1.6318340,-0.5780590,0.9863241,0.0369109,-0.0782360,-0.1402913,-0.3042200,1.0411000,-0.6823000,0.9747902,0.0779800,-0.2045601,0.0431100,-0.5437324,0.9635001,-0.7597778,0.8816226,-0.1658799,0.2271735,0.3789696,-0.2390985,1.0762290,-0.2685292,0.6330369,-0.5070167,-0.3985272,-0.4282225,-0.3743262,0.0104369,-0.6704905,0.9514187,0.0145450,-0.3071883,-0.0150539,0.1087506,0.0151556,-0.6425834,0.9801129,0.0626144,0.1754683,0.0683281
-0.3536924,1.6297570,-0.5749235,0.9854155,0.0351160,-0.0833083,-0.1441631,-0.3060800,1.0401600,-0.6851200,0.9755949,0.0813896,-0.1987990,0.0454898,-0.5677395,0.9929780,-0.6840121,0.8389874,-0.2774181,0.3132187,0.3478987,-0.2360430,1.0178000,-0.3265383,0.7501731,-0.2989935,-0.2942231,-0.5111519,-0.3737918,0.0107330,-0.6706029,0.9509677,0.0157755,-0.3084758,-0.0159449,0.1090659,0.0152746,-0.6431022,0.9800199,0.0642335,0.1757016,0.0675573
-0.3536924,1.6297570,-0.5749235,0.9854155,0.0351160,-0.0833083,-0.1441631,-0.3060800,1.0401600,-0.6851200,0.9755949,0.0813896,-0.1987990,0.0454898,-0.5677395,0.9929780,-0.6840121,0.8389874,-0.2774181,0.3132187,0.3478987,-0.2360430,1.0178000,-0.3265383,0.7501731,-0.2989935,-0.2942231,-0.5111519,-0.3737918,0.0107330,-0.6706029,0.9509677,0.0157755,-0.3084758,-0.0159449,0.1090659,0.0152746,-0.6431022,0.9800199,0.0642335,0.1757016,0.0675573
-0.3555292,1.6291690,-0.5758814,0.9851862,0.0336112,-0.0796066,-0.1481272,-0.3071900,1.0396400,-0.6858000,0.9763178,0.0811298,-0.1949295,0.0471599,-0.5779324,1.0120130,-0.6414927,0.8080961,-0.3299488,0.3589565,0.3305530,-0.2273292,0.9956489,-0.3637674,0.7755743,-0.2211250,-0.1970584,-0.5574552,-0.3737083,0.0108503,-0.6702637,0.9512264,0.0167017,-0.3075201,-0.0179176,0.1094551,0.0153908,-0.6431918,0.9801347,0.0648559,0.1748250,0.0675715
-0.3572140,1.6291010,-0.5777627,0.9854296,0.0317049,-0.0762025,-0.1487171,-0.3084100,1.0392800,-0.6859100,0.9770863,0.0800797,-0.1910993,0.0486898,-0.5925369,1.0352220,-0.5957829,0.7806302,-0.3709336,0.3859594,0.3225841,-0.2152990,0.9840341,-0.3900293,0.7813194,-0.1735761,-0.1651586,-0.5763109,-0.3735291,0.0109209,-0.6698422,0.9513328,0.0171189,-0.3071668,-0.0179318,0.1097704,0.0156055,-0.6431714,0.9799848,0.0662913,0.1747612,0.0685119
-0.3585271,1.6291760,-0.5800210,0.9857072,0.0317642,-0.0671696,-0.1511979,-0.3099300,1.0391200,-0.6855800,0.9780006,0.0775401,-0.1868002,0.0510700,-0.6068410,1.0561200,-0.5592850,0.7552466,-0.4004209,0.4149539,0.3115753,-0.2026531,0.9748272,-0.4183395,0.7842374,-0.1325080,-0.1628368,-0.5838643,-0.3733532,0.0108450,-0.6692562,0.9514508,0.0167230,-0.3068219,-0.0179531,0.1099422,0.0160905,-0.6429821,0.9794313,0.0696145,0.1762033,0.0694310
-0.3629895,1.6299210,-0.5847872,0.9869517,0.0293914,-0.0538929,-0.1488565,-0.3121200,1.0390400,-0.6849800,0.9796766,0.0745597,-0.1785394,0.0528998,-0.6176900,1.0773310,-0.5169789,0.7236508,-0.4361537,0.4505600,0.2882629,-0.1866790,0.9719257,-0.4486261,0.7941400,-0.0959192,-0.1655291,-0.5768375,-0.3733509,0.0107148,-0.6685618,0.9519336,0.0159522,-0.3053706,-0.0178045,0.1097676,0.0163313,-0.6428762,0.9786311,0.0722236,0.1787699,0.0714603
-0.3683246,1.6312740,-0.5901915,0.9887568,0.0260970,-0.0439188,-0.1405360,-0.3141700,1.0394100,-0.6839200,0.9815084,0.0714999,-0.1691097,0.0541399,-0.6255337,1.0948670,-0.4793007,0.6943936,-0.4604557,0.4779623,0.2781200,-0.1692341,0.9731605,-0.4750621,0.8008990,-0.0721416,-0.1713358,-0.5692109,-0.3732386,0.0107755,-0.6678829,0.9521563,0.0160511,-0.3048178,-0.0150750,0.1098201,0.0166386,-0.6429240,0.9777505,0.0746068,0.1812242,0.0748052
-0.3744213,1.6326760,-0.5955837,0.9902058,0.0254194,-0.0338639,-0.1330402,-0.3160900,1.0401700,-0.6827200,0.9836306,0.0678701,-0.1572101,0.0561200,-0.6306684,1.1040690,-0.4489049,0.6746781,-0.4702193,0.4980437,0.2750564,-0.1551397,0.9753358,-0.5008838,0.8061567,-0.0587083,-0.1758647,-0.5619041,-0.3735525,0.0106399,-0.6672655,0.9528906,0.0153936,-0.3025005,-0.0160085,0.1099705,0.0169640,-0.6430286,0.9769551,0.0765234,0.1829147,0.0790269
-0.3809578,1.6338360,-0.6009012,0.9912527,0.0261742,-0.0216616,-0.1275312,-0.3174600,1.0412700,-0.6816600,0.9859650,0.0624897,-0.1430093,0.0592997,-0.6374970,1.1035120,-0.4270984,0.6669729,-0.4668000,0.5138998,0.2704664,-0.1424967,0.9810406,-0.5230268,0.8093132,-0.0451202,-0.1913861,-0.5534869,-0.3737247,0.0105600,-0.6662954,0.9537522,0.0149551,-0.2998061,-0.0158034,0.1102497,0.0174847,-0.6429847,0.9763960,0.0792598,0.1831763,0.0825553
-0.3852256,1.6346790,-0.6045246,0.9914088,0.0275699,-0.0157425,-0.1268883,-0.3179700,1.0423000,-0.6809000,0.9877346,0.0580603,-0.1308506,0.0623503,-0.6445725,1.0968590,-0.4187695,0.6701130,-0.4567469,0.5154727,0.2768007,-0.1361850,0.9859439,-0.5363934,0.8090918,-0.0567233,-0.2056244,-0.5476056,-0.3730563,0.0104334,-0.6653079,0.9543905,0.0138803,-0.2978409,-0.0153933,0.1107121,0.0181316,-0.6429235,0.9762895,0.0821094,0.1816913,0.0842948
-0.3917193,1.6356260,-0.6092200,0.9921298,0.0313832,-0.0061068,-0.1210620,-0.3176400,1.0439100,-0.6796900,0.9898015,0.0507001,-0.1153902,0.0663901,-0.6459230,1.0801610,-0.4129685,0.6885799,-0.4289222,0.4997071,0.3036062,-0.1254690,0.9957625,-0.5480224,0.8122602,-0.0925977,-0.2165886,-0.5336186,-0.3721858,0.0105649,-0.6638947,0.9548473,0.0147359,-0.2963834,-0.0143609,0.1112427,0.0189912,-0.6426024,0.9766245,0.0856446,0.1780701,0.0846196
-0.3917193,1.6356260,-0.6092200,0.9921298,0.0313832,-0.0061068,-0.1210620,-0.3176400,1.0439100,-0.6796900,0.9898015,0.0507001,-0.1153902,0.0663901,-0.6459230,1.0801610,-0.4129685,0.6885799,-0.4289222,0.4997071,0.3036062,-0.1254690,0.9957625,-0.5480224,0.8122602,-0.0925977,-0.2165886,-0.5336186,-0.3721858,0.0105649,-0.6638947,0.9548473,0.0147359,-0.2963834,-0.0143609,0.1112427,0.0189912,-0.6426024,0.9766245,0.0856446,0.1780701,0.0846196
-0.3959478,1.6366170,-0.6141093,0.9922813,0.0319515,0.0039231,-0.1197583,-0.3170100,1.0452100,-0.6786900,0.9914795,0.0447300,-0.0999600,0.0705400,-0.6451661,1.0583420,-0.4169367,0.7226187,-0.3586730,0.4856707,0.3366017,-0.1193501,1.0075570,-0.5480111,0.8103155,-0.1262257,-0.2382398,-0.5202866,-0.3719531,0.0106379,-0.6629581,0.9551542,0.0158461,-0.2952671,-0.0157045,0.1114286,0.0192444,-0.6424153,0.9775019,0.0851857,0.1748613,0.0815938
-0.3975001,1.6368720,-0.6171603,0.9921803,0.0354531,0.0116566,-0.1191044,-0.3162100,1.0458000,-0.6782000,0.9927524,0.0402901,-0.0863102,0.0732802,-0.6415888,1.0279230,-0.4339532,0.7618907,-0.2877725,0.4479119,0.3688969,-0.1137654,1.0197960,-0.5434901,0.8031976,-0.1537984,-0.2694892,-0.5085230,-0.3720437,0.0108649,-0.6621715,0.9555911,0.0178967,-0.2936332,-0.0174792,0.1114286,0.0188355,-0.6422677,0.9789295,0.0810201,0.1704757,0.0779163
-0.3977712,1.6365550,-0.6192659,0.9921824,0.0385176,0.0174386,-0.1174181,-0.3148000,1.0456600,-0.6775000,0.9935670,0.0370599,-0.0763398,0.0749898,-0.6384816,1.0053340,-0.4516746,0.7864884,-0.2325607,0.4208601,0.3875933,-0.1085715,1.0289270,-0.5368992,0.7936358,-0.1806712,-0.2854755,-0.5059682,-0.3722226,0.0109217,-0.6615283,0.9558285,0.0185614,-0.2927555,-0.0184833,0.1119190,0.0187509,-0.6419938,0.9808409,0.0789272,0.1622313,0.0735041
