Hips_px,Hips_py,Hips_pz,Hips_rw,Hips_rx,Hips_ry,Hips_rz,Spine_rw,Spine_rx,Spine_ry,Spine_rz,Chest_rw,Chest_rx,Chest_ry,Chest_rz,UpperChest_rw,UpperChest_rx,UpperChest_ry,UpperChest_rz,Neck_rw,Neck_rx,Neck_ry,Neck_rz,Head_rw,Head_rx,Head_ry,Head_rz,LeftShoulder_rw,LeftShoulder_rx,LeftShoulder_ry,LeftShoulder_rz,LeftUpperArm_rw,LeftUpperArm_rx,LeftUpperArm_ry,LeftUpperArm_rz,LeftLowerArm_rw,LeftLowerArm_rx,LeftLowerArm_ry,LeftLowerArm_rz,LeftHand_rw,LeftHand_rx,LeftHand_ry,LeftHand_rz,RightShoulder_rw,RightShoulder_rx,RightShoulder_ry,RightShoulder_rz,RightUpperArm_rw,RightUpperArm_rx,RightUpperArm_ry,RightUpperArm_rz,RightLowerArm_rw,RightLowerArm_rx,RightLowerArm_ry,RightLowerArm_rz,RightHand_rw,RightHand_rx,RightHand_ry,RightHand_rz,LeftUpperLeg_rw,LeftUpperLeg_rx,LeftUpperLeg_ry,LeftUpperLeg_rz,LeftLowerLeg_rw,LeftLowerLeg_rx,LeftLowerLeg_ry,LeftLowerLeg_rz,LeftFoot_rw,LeftFoot_rx,LeftFoot_ry,LeftFoot_rz,LeftToes_rw,LeftToes_rx,LeftToes_ry,LeftToes_rz,RightUpperLeg_rw,RightUpperLeg_rx,RightUpperLeg_ry,RightUpperLeg_rz,RightLowerLeg_rw,RightLowerLeg_rx,RightLowerLeg_ry,RightLowerLeg_rz,RightFoot_rw,RightFoot_rx,RightFoot_ry,RightFoot_rz,RightToes_rw,RightToes_rx,RightToes_ry,RightToes_rz
-0.3042200,1.0411000,-0.6823000,0.9747902,0.0779800,-0.2045601,0.0431100,0.9998079,0.0141641,-0.0125460,-0.0051193,1.0000000,0.0000000,0.0000000,0.0000000,0.9992280,0.0283861,-0.0251378,-0.0102830,0.9919397,-0.0615269,0.0701513,-0.0857258,0.9920063,-0.0626256,0.0713903,-0.0830959,0.9847054,-0.0168504,-0.1701891,0.0332712,0.8001705,0.0094586,0.1041548,0.5905842,0.9487649,0.1019632,0.2546653,0.1568260,0.9137050,0.2637940,0.1717936,-0.2569880,0.9987807,0.0225828,0.0412987,0.0148871,0.7056662,-0.2377948,-0.2209466,-0.6298187,0.9563765,-0.0122306,-0.2865139,-0.0557154,0.9114549,-0.1102393,-0.1945807,0.3453053,0.9857230,-0.1655665,0.0259794,0.0162210,0.9748715,0.2225591,0.0000161,-0.0096467,0.9815781,-0.1325252,-0.1340247,-0.0312879,0.9999989,0.0000950,-0.0014700,-0.0000082,0.9358831,-0.0292532,0.3366300,0.0997364,0.9999997,0.0007745,-0.0000087,-0.0000300,0.9892037,0.1159226,0.0336069,-0.0831181,0.9989346,-0.0461488,-0.0000042,0.0000038
-0.3042200,1.0411000,-0.6823000,0.9747902,0.0779800,-0.2045601,0.0431100,0.9998079,0.0141641,-0.0125460,-0.0051193,1.0000000,0.0000000,0.0000000,0.0000000,0.9992280,0.0283861,-0.0251378,-0.0102830,0.9919397,-0.0615269,0.0701513,-0.0857258,0.9920063,-0.0626256,0.0713903,-0.0830959,0.9847054,-0.0168504,-0.1701891,0.0332712,0.8001705,0.0094586,0.1041548,0.5905842,0.9487649,0.1019632,0.2546653,0.1568260,0.9137050,0.2637940,0.1717936,-0.2569880,0.9987807,0.0225828,0.0412987,0.0148871,0.7056662,-0.2377948,-0.2209466,-0.6298187,0.9563765,-0.0122306,-0.2865139,-0.0557154,0.9114549,-0.1102393,-0.1945807,0.3453053,0.9857230,-0.1655665,0.0259794,0.0162210,0.9748715,0.2225591,0.0000161,-0.0096467,0.9815781,-0.1325252,-0.1340247,-0.0312879,0.9999989,0.0000950,-0.0014700,-0.0000082,0.9358831,-0.0292532,0.3366300,0.0997364,0.9999997,0.0007745,-0.0000087,-0.0000300,0.9892037,0.1159226,0.0336069,-0.0831181,0.9989346,-0.0461488,-0.0000042,0.0000038
-0.3060800,1.0401600,-0.6851200,0.9755949,0.0813896,-0.1987990,0.0454898,0.9997805,0.0151032,-0.0126418,-0.0071370,1.0000000,0.0000000,0.0000000,0.0000000,0.9991195,0.0302344,-0.0253221,-0.0143156,0.9921130,-0.0661287,0.0646417,-0.0846181,0.9922677,-0.0665921,0.0641702,-0.0827795,0.9853886,-0.0214540,-0.1667042,0.0275447,0.7968045,-0.0250071,0.1342428,0.5886053,0.9196337,0.1038884,0.3111606,0.2160094,0.9157737,0.2432367,0.2035170,-0.2465263,0.9989108,0.0280009,0.0340142,0.0153698,0.6894766,-0.2138667,-0.2327826,-0.6516865,0.9815184,-0.0203060,-0.1891681,-0.0206080,0.9499643,-0.1083771,-0.0480164,0.2889924,0.9844644,-0.1737796,0.0193504,0.0160057,0.9732132,0.2297188,0.0000116,-0.0092425,0.9810812,-0.1346895,-0.1347992,-0.0341678,0.9999988,-0.0000422,-0.0015643,-0.0000051,0.9358250,-0.0352689,0.3367196,0.0980182,0.9999999,0.0005511,-0.0000018,-0.0000201,0.9892982,0.1163784,0.0284065,-0.0832967,0.9991023,-0.0423623,0.0000036,0.0000056
-0.3060800,1.0401600,-0.6851200,0.9755949,0.0813896,-0.1987990,0.0454898,0.9997805,0.0151032,-0.0126418,-0.0071370,1.0000000,0.0000000,0.0000000,0.0000000,0.9991195,0.0302344,-0.0253221,-0.0143156,0.9921130,-0.0661287,0.0646417,-0.0846181,0.9922677,-0.0665921,0.0641702,-0.0827795,0.9853886,-0.0214540,-0.1667042,0.0275447,0.7968045,-0.0250071,0.1342428,0.5886053,0.9196337,0.1038884,0.3111606,0.2160094,0.9157737,0.2432367,0.2035170,-0.2465263,0.9989108,0.0280009,0.0340142,0.0153698,0.6894766,-0.2138667,-0.2327826,-0.6516865,0.9815184,-0.0203060,-0.1891681,-0.0206080,0.9499643,-0.1083771,-0.0480164,0.2889924,0.9844644,-0.1737796,0.0193504,0.0160057,0.9732132,0.2297188,0.0000116,-0.0092425,0.9810812,-0.1346895,-0.1347992,-0.0341678,0.9999988,-0.0000422,-0.0015643,-0.0000051,0.9358250,-0.0352689,0.3367196,0.0980182,0.9999999,0.0005511,-0.0000018,-0.0000201,0.9892982,0.1163784,0.0284065,-0.0832967,0.9991023,-0.0423623,0.0000036,0.0000056
-0.3071900,1.0396400,-0.6858000,0.9763178,0.0811298,-0.1949295,0.0471599,0.9997854,0.0152556,-0.0119851,-0.0072731,1.0000000,0.0000000,0.0000000,0.0000000,0.9991382,0.0305750,-0.0240008,-0.0145633,0.9919556,-0.0669981,0.0636795,-0.0864885,0.9920429,-0.0672112,0.0623261,-0.0863077,0.9855813,-0.0242933,-0.1649400,0.0288823,0.7955371,-0.0388207,0.1556262,0.5842895,0.9033188,0.1000497,0.3433403,0.2369024,0.9182280,0.2323863,0.2128516,-0.2398921,0.9988586,0.0309273,0.0328093,0.0157630,0.6857923,-0.1942469,-0.2305998,-0.6624053,0.9866477,-0.0565256,-0.1518406,-0.0166009,0.9601926,-0.1242480,0.0154229,0.2497094,0.9841536,-0.1761417,0.0143161,0.0145239,0.9721407,0.2342391,0.0000042,-0.0086266,0.9809852,-0.1363222,-0.1330073,-0.0373286,0.9999984,-0.0004869,-0.0017400,0.0000022,0.9372616,-0.0360432,0.3328112,0.0973562,0.9999998,0.0006977,0.0000030,-0.0000292,0.9892008,0.1171398,0.0275808,-0.0836624,0.9991211,-0.0419162,-0.0000008,0.0000021
-0.3084100,1.0392800,-0.6859100,0.9770863,0.0800797,-0.1910993,0.0486898,0.9998052,0.0151052,-0.0104240,-0.0072684,1.0000000,0.0000000,0.0000000,0.0000000,0.9992185,0.0302481,-0.0208654,-0.0145633,0.9919688,-0.0668381,0.0621182,-0.0875904,0.9921902,-0.0661983,0.0590484,-0.0876906,0.9857221,-0.0257013,-0.1637895,0.0294020,0.7866764,-0.0646675,0.1734462,0.5889608,0.8942570,0.0690466,0.3634526,0.2518714,0.9221193,0.2478064,0.2063877,-0.2137571,0.9987465,0.0343358,0.0332284,0.0149175,0.6851696,-0.1782035,-0.2292891,-0.6679915,0.9891374,-0.0656759,-0.1312742,-0.0078089,0.9682043,-0.1218766,0.0372250,0.2152694,0.9841636,-0.1765168,0.0093940,0.0132501,0.9714217,0.2371980,-0.0000009,-0.0087823,0.9808488,-0.1383353,-0.1317417,-0.0379891,0.9999985,-0.0002632,-0.0017350,0.0000048,0.9388871,-0.0358185,0.3284037,0.0967427,0.9999997,0.0007848,0.0000029,-0.0000323,0.9891449,0.1180288,0.0279966,-0.0829321,0.9991578,-0.0410326,0.0000056,-0.0000023
-0.3099300,1.0391200,-0.6855800,0.9780006,0.0775401,-0.1868002,0.0510700,0.9998234,0.0151165,-0.0080240,-0.0077628,1.0000000,0.0000000,0.0000000,0.0000000,0.9992915,0.0302642,-0.0160762,-0.0155628,0.9918646,-0.0646457,0.0616110,-0.0907183,0.9922545,-0.0642184,0.0568173,-0.0898823,0.9858797,-0.0261742,-0.1627077,0.0297058,0.7795054,-0.0877318,0.1915865,0.5898891,0.8889749,0.0502973,0.3755595,0.2571942,0.9250529,0.2528127,0.2059720,-0.1947780,0.9986071,0.0371188,0.0346132,0.0144202,0.6843085,-0.1643853,-0.2228314,-0.6745707,0.9921823,-0.0521539,-0.1133734,-0.0008918,0.9752225,-0.1109779,0.0381288,0.1875399,0.9844750,-0.1750724,0.0066383,0.0107043,0.9708181,0.2396727,-0.0000045,-0.0083276,0.9804052,-0.1401010,-0.1330371,-0.0384531,0.9999980,-0.0010142,-0.0017606,0.0000011,0.9404486,-0.0341177,0.3245035,0.0953411,0.9999997,0.0007848,0.0000027,-0.0000318,0.9890394,0.1196343,0.0285423,-0.0816958,0.9992501,-0.0387217,-0.0000046,-0.0000020
-0.3121200,1.0390400,-0.6849800,0.9796766,0.0745597,-0.1785394,0.0528998,0.9998611,0.0146226,-0.0049486,-0.0062917,1.0000000,0.0000000,0.0000000,0.0000000,0.9994424,0.0292860,-0.0099137,-0.0126100,0.9919987,-0.0618983,0.0610472,-0.0915445,0.9921654,-0.0601342,0.0551189,-0.0946233,0.9864391,-0.0275948,-0.1586038,0.0319579,0.7730173,-0.1107359,0.2161368,0.5860603,0.8860808,0.0468233,0.3867191,0.2512305,0.9272577,0.2396837,0.2145255,-0.1916345,0.9982579,0.0368361,0.0425881,0.0176182,0.6833234,-0.1400380,-0.2159635,-0.6832411,0.9942873,-0.0237276,-0.1040661,-0.0003530,0.9776793,-0.1074400,0.0412924,0.1757693,0.9850469,-0.1720758,0.0012981,0.0084261,0.9704770,0.2410696,-0.0000091,-0.0077413,0.9799066,-0.1418924,-0.1346822,-0.0388638,0.9999963,-0.0020818,-0.0017680,0.0000067,0.9410466,-0.0336922,0.3230540,0.0945109,0.9999998,0.0006979,0.0000024,-0.0000240,0.9889429,0.1234951,0.0236099,-0.0786353,0.9992635,-0.0383727,-0.0000071,0.0000031
-0.3141700,1.0394100,-0.6839200,0.9815084,0.0714999,-0.1691097,0.0541399,0.9998980,0.0137336,-0.0005599,-0.0038882,1.0000000,0.0000000,0.0000000,0.0000000,0.9995909,0.0274995,-0.0011030,-0.0077826,0.9924807,-0.0577923,0.0575756,-0.0912537,0.9926323,-0.0548634,0.0491481,-0.0962066,0.9875808,-0.0285544,-0.1516338,0.0295972,0.7667575,-0.1294519,0.2338477,0.5836441,0.8876576,0.0395165,0.3929193,0.2368897,0.9314246,0.2274230,0.2177206,-0.1825507,0.9980034,0.0340286,0.0498900,0.0185000,0.6865119,-0.1090066,-0.2122438,-0.6868563,0.9946396,-0.0078910,-0.1030671,-0.0026690,0.9803482,-0.0995655,0.0395725,0.1656451,0.9858483,-0.1673801,-0.0061932,0.0069814,0.9706959,0.2401637,0.0000005,-0.0084234,0.9795157,-0.1438724,-0.1361143,-0.0363682,0.9999985,-0.0008677,-0.0015178,-0.0000009,0.9435914,-0.0331774,0.3156578,0.0943122,0.9999997,0.0007851,0.0000025,-0.0000242,0.9886067,0.1285093,0.0235855,-0.0747391,0.9991964,-0.0400835,-0.0000037,0.0000018
-0.3160900,1.0401700,-0.6827200,0.9836306,0.0678701,-0.1572101,0.0561200,0.9999097,0.0128290,0.0037776,-0.0013296,1.0000000,0.0000000,0.0000000,0.0000000,0.9996372,0.0257109,0.0075672,-0.0026781,0.9930165,-0.0516764,0.0513921,-0.0927718,0.9930607,-0.0487773,0.0430631,-0.0979633,0.9887804,-0.0277541,-0.1443402,0.0266283,0.7602609,-0.1443286,0.2450380,0.5840626,0.8949288,0.0341771,0.3912975,0.2117089,0.9348998,0.2208994,0.2194971,-0.1702553,0.9977700,0.0311316,0.0573739,0.0139379,0.6920443,-0.0806057,-0.2082543,-0.6864456,0.9943958,0.0111773,-0.1047692,-0.0086931,0.9817439,-0.0960537,0.0344661,0.1605135,0.9866318,-0.1627326,-0.0077157,0.0040275,0.9707457,0.2400032,-0.0000069,-0.0071590,0.9784631,-0.1429068,-0.1442802,-0.0370249,0.9999914,-0.0038141,-0.0016647,0.0000060,0.9468077,-0.0327956,0.3061908,0.0934172,0.9999998,0.0006463,-0.0000034,-0.0000208,0.9879316,0.1364320,0.0223335,-0.0698482,0.9989917,-0.0448950,0.0000064,0.0000028
